Judul,Deskripsi,Status,Link
"Menyesatkan, Foto dengan Klaim Terawan akan Bertugas di Jerman","
Sebuah  foto  dengan narasi memberikan selamat buat Dr. Terawan yang akan bertugas di Jerman, beredar di Twitter 29 Maret 2022. Foto itu adalah tangkapan layar dari berita media online berjudul “Selangkah lagi Dr. Terawan resmi menjadi milik Jerman”.
“Selamat buat Dr. Terawan yang sebentar lg akan Resmi jd Milik Jerman dan bertugas di sana Hilang satu Aset Negara,” tulis salah satu akun.
Dalam berita itu, terlihat bahwa Terawan berfoto dengan sejumlah dokter asing. Di dalamnya terdapat teks bertuliskan, “Dr. Terawan dari RS Gatot Subroto yg dipecat dari IDI, dikontrak oleh salah satu RS top di Jerman untuk mengembangkan sistem pengobatan stroke yang beliau temukan. Selamat Jerman.”  
Postingan ini beredar setelah mantan Menteri Kesehatan Terawan Agus Putranto diberhentikan dari keanggotaan Ikatan Dokter Indonesia (IDI). Keputusan itu ditetapkan dalam Muktamar XXXI IDI di Banda Aceh, Jumat petang, 25 Maret 2022.
Tangkapan layar unggahan foto yang diklaim Terawan akan bertugas di Jerman",Salah [-],https://cekfakta.com/focus/9535
 Foto “STEVE AHOKI”,"Akun Twitter PALALU PITAK SEBELAH (@aaaabbbbb__) mengunggah cuitan berupa foto Basuki Tjahaja Purnama (Ahok) yang di dalamnya terdapat tulisan “STEVE AHOKI”. Cuitan yang diunggah pada 23 Maret 2022 itu telah mendapat atensi berupa 691 retweet dan 3,4 ribu suka.",Salah [Satire],https://cekfakta.com/focus/9534
 Foto Petani Ukraina Menangkap Jet Militer Rusia,Akun Twitter Ukraine Live (@AfricaUnitNow) mengunggah cuitan berupa foto traktor menarik pesawat jet yang diklaim sebagai aksi petani Ukraina terhadap angkatan militer Rusia. Cuitan yang diunggah pada 11 Maret 2022 telah mendapat atensi berupa 10 retweet dan 58 suka.,Salah [False Context],https://cekfakta.com/focus/9533
 “kasino di Saudi”,NARASI : “kasino di Saudi”.,Salah [False Context],https://cekfakta.com/focus/9532
 Video “#ukraina #menembak #hari ini”,NARSI: “#ukraina #firing #today #fyp #😭😭😭😭😭”.,Salah [False Context],https://cekfakta.com/focus/9531
 Video “Kecelakaan pesawat Mu5735” dengan Narasi Keliru,NARRATIF: “RIP Mu5735 kecelakaan pesawat – 133 orang di dalamnya #planecrash #mu5735 #boeing #boeing737 #Chinese”.,Salah [False Context],https://cekfakta.com/focus/9530
 Seorang Petani Ukraina Mencuri Roket Milik Rusia,"Beredar sebuah foto di Facebook yang menunjukkan sebuah truk petani menarik sebuah roket, dalam narasi unggahan tersebut diklaim bahwa seorang petani asal Ukraina telah mencuri roket milik Rusia.",Salah [Manipulated Content],https://cekfakta.com/focus/9529
 Vaksin Pfizer-BioNTech Dapat Menyebabkan Radang Otak,"Beredar sebuah informasi di internet yang mengklaim bahwa vaksin Pfizer-BioNTech dapat menyebabkan ensefalitis atau radang otak, klaim tersebut didukung dengan adanya dokumen yang diberikan pihak Pfizer kepada FDA Amerika.",Salah [Misleading Content],https://cekfakta.com/focus/9528
 Foto Kakek Tua Menggendong Kucing Menjadi Korban Serangan Rusia di Ukraina,"Beredar sebuah foto di Facebook yang menunjukkan seorang kakek tua memegang kucingnya, melalui narasi pada foto tersebut diklaim merupakan korban dari serangan Rusia di Ukraina pada Maret 2022. Foto dengan klaim tersebut dibagikan di internet sejak 11 Maret 2022.",Salah [False Context],https://cekfakta.com/focus/9527
" 2.500 Ton Minyak Goreng Tumpah Ke Laut di wilayah Kariangau, Kecamatan Balikpapan Barat, Kalimantan Timur","“Terbaiki, 2.500 Ton seharga ±37 Milyar.. Dokumen tidak akan cair tanpa tanda tangan saya.. Jika minyak 2.500 Ton ini ku bagikan kepada rakyat, maka akan mengurangi bebab mereka, aku akan di tangkap, rakyat akan mengingatku, tapi akan melupakan”.",Salah [False Context],https://cekfakta.com/focus/9526
": Rudal Rusia Bisa Memilih Target, Gedung Kementerian Pertahanan Ukraina Diratakan Dengan Tiga rudal","“Luar biasa Hebatnya …..🤭🤔
Rudal Rusia bisa milih gedung yg akan dirontokkan nah…
👆👆👆🤔
Gedung Kementerian Pertahanan Ukraina diratakan dengan tiga rudal dalam sekejap waktu.
Pasukan Rusia melakukan dua hal luar biasa sebelum meluncurkan misil mereka:
1beri tahu wartawan asing untuk mefoto/video di dekatnya
2beri tahu orang-orang di gedung untuk mengungsi semuanya”.",Salah [Misleading Content],https://cekfakta.com/focus/9525
 Email dari Direktorat Jenderal Pajak (DJP) Berisi Tagihan Kurang Bayar Pajak,"“Sehubungan dengan pelaporan pajak individu tahun 2021 yang wajib Anda laporkan, Anda terhitung mengalami kurang bayar hingga surat ini diterbitkan.

Untuk itu kami menghimbau Anda untuk segera melakukan konfirmasi ulang melalui tautan di bawah ini:

Klik Disini

Jika Anda tidak melakukan konfirmasi hingga tanggal 22 Maret 2022, maka Anda akan mendapatkan denda sebesar Rp 100.000 (Seratus Ribu Rupiah) untuk tiap bulan keterlambatan dan NPWP Anda akan dinonaktifkan sementara. Sebagai informasi, untuk NPWP yang tidak aktif mengakibatkan pajak yang wajib dibayarkan tiap bulannya akan menggunakan tarif pajak tanpa NPWP (20% lebih tinggi dari nilai pajak dengan NPWP).

Atas perhatian Bapak/Ibu, kami ucapkan terima kasih”.",Salah [Impostor Content],https://cekfakta.com/focus/9524
"Keliru, Video yang Diklaim Ukraina Ikut Memerangi Bangsa Chechnya Tahun 1999 dan Membunuh Kaum Muslimin","
Video dengan narasi bahwa Ukraina ikut memerangi bangsa Chechnya tahun 1999 dan membunuh kaum Muslimin, beredar di Facebook 10 Maret 2022. Video ini berdurasi 1:53 menit yang menampakkan pria berpakaian militer menembak pria di depannya. 
Akun yang membagikan  video itu, memberikan penjelasan bahwa pria tersebut adalah tentara bangsa Ukraina. Saat mereka memasuki daratan Chechnya, dia mengeksekusi seorang pria tua pada 1999 saat sedang membacakan surah Al Fatihah dengan didampingi istrinya.
Video itu dikaitkan dengan perang Rusia dan Ukraina yang terjadi saat ini.  “Hari ini skenario berbalik. Bangsa Chechnya masuk Ukraina bersama tentara Rusia untuk melakukan perhitungan, apa yg telah bangsa Ukraina lakukan terhadap mereka.” 
Tangkapan layar unggahan video yang diklaim Ukraina ikut memerangi bangsa Chechnya tahun 1999 dan membunuh kaum Muslimin",Salah [-],https://cekfakta.com/focus/9523
"Keliru, Foto Seekor Ular Raksasa Melilit Sebuah Mobil Van","
Kolase foto seekor ular raksasa tengah melilit sebuah mobil putih jenis van beredar di internet. Sebuah situs membagikannya dengan narasi bahwa seorang wisatawan berhasil mengabadikan gambar saat seekor ular raksasa melilit seluruh bagian mobil tersebut.
Kolase foto tersebut dimuat situs ini pada  28 Maret 2022. Berikut narasinya:
“Sebuah mobil van yang digunakan untuk mengantar para wisatawan terlihat dengan jelas, bahwa seekor ular besar melilit mobil tersebut. Mungkin terlihat dari gambar, ular tersebut, sudah melilit seluruh bagian mobil itu. Seorang pengunjung wisatawan berhasil mengambil gambar dari belakang mobil itu, dengan tampak panik dan heran, kendaraan putih tersebut telah sepenuhnya diambil alih oleh ular besar itu.”
Apa benar ini foto seekor ular raksasa yang melilit sebuah mobil van?
Tangkapan Layar unggahan Foto Seekor Ular Raksasa Melilit Sebuah Mobil Van",Salah [-],https://cekfakta.com/focus/9522
 FADLI ZON AKHIRNYA RESMI DIPECAT DARI KURSI DPR,"KARIR BERAKHIR
DISAKSIKAN RATUSAN MENTRI
FADLI ZON AKHIRNYA RESMI DI PECAT DARI KURSI DPR
BERITA VIRAL ~dipimpin langsung presiden, pemecatan Fadli disaksikan ratusan Mentri

#BERITATERKINI #BERITAHARIINITERBARU #BERITAINDONESIAHARIINI",Salah [False Connection],https://cekfakta.com/focus/9521
 GUS NUR DIJEMPUT AJAL,"SEMUA MEMAAFKAN MU
GUS NUR DIJEMPUT AJAL AZAB ALLAH BAGI PENGHINA AZAN BENAR2 TERJADI
BERITA VIRAL ~ azab Allah bagi penghina azan benar2 terjadi ~ BERITA TERBARU

#BERITATERKINI #BERITAHARIINITERBARU #BERITAINDONESIAHARIINI",Salah [False Connection],https://cekfakta.com/focus/9520
 Akun WhatsApp Wali Kota Surabaya dengan Nomor “082137781134” Memberikan Donasi Kepada Yayasan dan Pondok Pesantren,"“Assalamu’alaikum wr wb”
“Waalaikumsalam Wr. Wb”
“Apa benar saat ini saya berbicara dengan pengurus Yayasan Pondok Pesantren Al Quran nurul falah ketintang timur”
“Iya benar ada yg bisa dibantu”
“Baik, dengan Bpk/ibu siapa saya bicaya”
“Daimil”
“Saya perkenalkan, saya dengan Bpk ERI CAHYADI. Selaku BPK WALI KOTA Surabaya ingin menyalurkan dana donasi. Sebagai yayasan dan pondok pesantren di Seluruh kota yang ada di surabaya”
“Baik bapak daimil, apa Pesantren alquran nurul falah sudah dibuatkan rekening yayasan”.",Salah [Impostor Content],https://cekfakta.com/focus/9519
 Akun WhatsApp Wakil Bupati Klaten dengan Nomor “082140850608” Memberikan Donasi Kepada Tempat Ibadah dan Yayasan,"“Sy salah satu pengurus…”
“Perkenalkan saya Bpk Yoga Hardaya mewakili dari pemkab klaten”
“Tujuan saya menghubungi saat ini terkait pembagian donasi dari pemkab Klaten”
“Dan di tujukan ke tempat ibadah dan Yayasan khususnya”.",Salah [Impostor Content],https://cekfakta.com/focus/9518
"Keliru, Sniper Kanada Bernama Wali Tewas Hanya 20 Menit di Tangan Pasukan Khusus Rusia","
Klaim bahwa penembak paling mematikan dari Kanada yang bertempur di Mariupol, Ukraina tewas dibunuh Rusia hanya dalam waktu 20 menit, beredar di Facebook sejak 16 Maret 2022. Klaim ini beredar di tengah masih panasnya konflik Rusia dan Ukraina.
Unggahan itu berupa kolase 3 foto seorang sniper Kanada bernama Wali dengan teks: “Canadian Sniper Wali dubbed the World’s deadliest Sniper is dead. Killed by Russian Special Ops Forces just 20 minutes after going into action in Mariupol, Ukraine.
Akun pengunggah foto itu memberikan narasi, “Baru turun saja sudah diupload ke media sosial. Dia kira medan tempur itu kayak tanah yg sepi di pertanian di Kanada.”
Benarkah sniper Kanada itu tewas?
Tangkapan layar unggahan foto dan narasi dengan klaim Sniper Kanada Bernama Wali Tewas Hanya 20 Menit di Tangan Pasukan Khusus Rusia",Salah [-],https://cekfakta.com/focus/9517
 Akun Telegram Ternak Uang,"“Buat apa jadi member Ternak Uang?

kamu bisa berinvestasi belajar cara ngatur duit, strategi ngatur portfolio saham & money management dan apa yang harus dilakukan di kondisi IHSG sekarang.

Info join: 👇
https://t.me/Cs_Ternak_Uang_Admin”
",Salah [Impostor Content],https://cekfakta.com/focus/9516
 Foto Bendera Ukraina dan Nazi “This is Ukraine White Supremacy.”,"“United States of America always supported White Supremacy and NAZI as NATO….
This is Ukraine White Supremacy.”",Salah [Misleading Content],https://cekfakta.com/focus/9515
" Foto Tank Milik Ukraina selama Invasi di Baghdad, Irak tahun 2004",“2004: Ukrainian tank in #Baghdad during #Iraq invasion…”,Salah [Manipulated Content],https://cekfakta.com/focus/9514
"Keliru, Equinox Menyebabkan Cuaca Panas Ekstrim dan Sun Stroke","
Foto-foto yang memperlihatkan cahaya matahari yang membentuk lingkaran di antara awan tebal pada sebuah permukiman beredar di media sosial. Di media sosial foto tersebut dibagikan dengan klaim bahwa Equinox dapat menyebabkan cuaca panas ekstrim dan Sun Stroke.
Di Facebook, foto-foto tersebut diunggah akun ini pada 23 Maret 2019. Berikut narasi lengkapnya:
“Pantasan beberapa hari ini panasx lain2...Bapak/Ibu jangan lupa untuk minum lebih banyak air makan lebih banyak buah dan mengurangi aktifitas diluar rumah dari tanggal 22 s/d 28 Maret..karena Equinox..karena Matahari..mencapai titik terdekat dengan bumi..dan suhu udara akan naik beberapa derajat..jangan sampai dehidrasi atau sun stroke. Ini terjadi siklus nya 2 tahun sekali pd akhir bulan maret dan september. Terakhir maret 2017 dan terjadi lg di akhir maret 2019. Di luar negeri di kenal dg istilah hari tanpa bayangan karena matahari tepat melintasi garis katulistiwa. Di namakan equinox karena 2 suku kata *equi dan nox* arti *tidak ada perbedaan siang dg malam* Suhu panas siang terasa juga pada malam hari...Wallahu a'lam bisshawab.”
Hingga artikel ini dimuat, unggahan tersebut telah mendapat 288 komentar dan dibagikan lebih dari 14.000 kali. Apa benar Equinox dapat menyebabkan cuaca ekstrim dan Sun Stroke?
Tangkapan layar unggahan foto dan narasi dengan klaim Equinox Menyebabkan Cuaca Panas Ekstrim dan Sun Stroke",Salah [-],https://cekfakta.com/focus/9513
"Keliru, Rudal Rusia Merobohkan Gedung Kementerian Pertahanan Ukraina","
Video berdurasi satu menit yang diklaim bahwa tiga rudal Rusia merobohkan gedung Kementerian Pertahanan Ukraina, beredar di Facebook 18 Maret 2022. 
“Rudal Rusia bisa milih gedung yg akan dirontokkan. Gedung Kementerian Pertahanan Ukraina diratakan dengan tiga rudal dalam sekejap waktu,” demikian narasi dan judul video yang diunggah.  
Dalam  video ini  terlihat seorang pria merekam gedung di depannya yang roboh karena dibombardir bom. “Pasukan Rusia melakukan dua hal luar biasa sebelum meluncurkan misil mereka. Pertama, beri tahu wartawan asing untuk memfoto/video di dekatnya. Beri tahu orang-orang di gedung untuk mengungsi semuanya. Beri tahu orang-orang di gedung untuk mengungsi semuanya.”
Tangkapan layar video dengan klaim Rudal Rusia Merobohkan Gedung Kementerian Pertahanan Ukraina",Salah [-],https://cekfakta.com/focus/9512
 Foto Presiden Jokowi Memberikan Minyak Goreng kepada Pebalap MotoGP Miguel Oliveira,"Akun Facebook dengan nama pengguna “Azary Brian” (https://www.facebook.com/azhar.gary.73) mengunggah sebuah foto yang menunjukkan Presiden Jokowi tengah memberikan minyak goreng kepada pebalap MotoGP Miguel Oliveira.

NARASI:

“Juara 1 dapat trofi ❎
Juara 1 dapat minyak ✅
Miguel Oliveira : Mayan dapet minyak, buat stok dirumah 😂”",Salah [Satire],https://cekfakta.com/focus/9511
 Telur Palsu Pembungkusnya dari Kertas dan terdapat Silicon di Kuning Telurnya,"Beredar kembali video telur palsu berdurasi 2 menit 38 detik. Dalam video tersebut seorang pria menjelaskan mengenai telur yang bungkusnya terbuat dari kertas dan terdapat silicon di dalam kuningan telur.

Telor PALSU = HOAX / BOHONG
Kasus telur palsu
Telur palsu
Telur ayam palsu
telur ayam",Salah [Misleading Content],https://cekfakta.com/focus/9510
 Cara Mengecek Minyak Goreng Limbah,"Beredar sebuah unggahan di Facebook oleh akun SakinahOlshop Guntung yang berisi narasi tentang minyak goreng limbah. Dalam narasi tersebut menjelaskan apabila minyak goreng yang ditaruh di kulkas selama 2 jam lalu muncul busa putih maka minyak goreng tersebut merupakan minyak goreng limbah. Lalu dalam narasi ini juga mencantumkan cara mengetahui minyak goreng limbah menggunakan bawang putih oleh dokter asal Padang yang tidak disebutkan namanya.
Dokter padang
Minyak goreng dalam lemari es
Minyak goreng dokter dari padang",Salah [Misleading Content],https://cekfakta.com/focus/9509
" Foto “Kebakaran merenggut banyak korban jiwa terjadi di pesantren Alquran dekat Ibu Kota Monrovia, Liberia”","Beredar artikel berjudul “Mohon Bantuan Dan Do’anya Turut Berdukacita. Pesantren Alquran Terbakar, 100 Santri Dan Dua Guru Tewas Terpanggang” yang terbit di situs jagadomain[dot]xyz. Artikel ini juga memuat sebuah foto yang memperlihatkan peristiwa kebakaran.

Di paragraf pertama artikel ini, tertulis narasi sebagai berikut: “Kebakaran merenggut banyak korban jiwa terjadi di pesantren Alquran dekat Ibu Kota Monrovia, Liberia, Rabu dini hari waktu setempat.”",Salah [Misleading Content],https://cekfakta.com/focus/9508
 Tiga Orang China Yang Terpapar Varian Baru dari India Tidak Dapat Dideteksi Dengan Alat Test Covid-19 Biasa,"Beredar sebuah informasi melalui pesan WhatsApp yang mengklaim bahwa varian baru dari India sangat kuat dan tidak dapat terdeteksi dengan alat tes biasa, hal tersebut dibuktikan dengan temuan tiga warga China yang bekerja di India yang kembali melalui Nepal sebelumnya sudah terkonfirmasi negatif melalui tes biasa, namun dokter masih ragu dan mengonfirmasinya dengan pemeriksaan melalui CT Scan. Hasil CT Scan tersebut menunjukkan hasil positif karena ditemukan lesi di paru-paru mereka.",Salah [Misleading Content],https://cekfakta.com/focus/9507
 ERIK TOH!R DICOPOT,"Beredar postingan di YouTube oleh channel bernama POLITIK INDONESIA yang memposting sebuah video berdurasi 8 menit 1 detik. Video tersebut disertai thumbnail yang menyatakan bahwa Erick Thohir, telah dicopot dari jabatannya sebagai Menteri BUMN.",Salah [False Connection],https://cekfakta.com/focus/9506
 Foto Kucing Bernama Mikael “Panther of Kharkiv” yang Dilatih Tentara Ukraina,Akun Twitter Grild Cheez (@grild_cheez) mengunggah cuitan berupa foto seekor kucing bersama seorang tentara dengan narasi bahwa kucing tersebut bernama Mikael yang dengan seorang diri mengungkap 4 lokasi 4 penembak jitu Rusia. Cuitan yang diunggah pada 28 Februari 2022 itu telah mendapat atensi berupa 484 retweet dan 2 rb suka.,Salah [Satire],https://cekfakta.com/focus/9505
 Judul Artikel merdeka.com “Ma’ruf amin : Ekonomi meroket jika Presiden Jokowi 3 periode”,"Akun Facebook dengan nama pengguna “Teddy Owellk” (https://www.facebook.com/profile.php?id=100005640315987) mengunggah sebuah foto hasil tangkapan layar artikel merdeka.com yang berjudul “Ma’ruf amin : Ekonomi meroket jika Presiden Jokowi 3 periode”. Artikel tersebut juga mencantumkan foto Ma’ruf Amin yang sedang didampingi Ibu Wakil Presiden Indonesia, Wury Estu Handayani.",Salah [Manipulated Content],https://cekfakta.com/focus/9504
 Video Awan Pasir di Atas Eropa Saat ini,"Akun Twitter Melors (@melorsballivor) membagikan ulang video akun Twitter @GerdaO123 pada 17 Maret 2022 dengan menambahkan klaim awan pasir saat ini berada di atas Eropa..

Narasi:
“Sand cloud over Europe at the moment!”",Salah [False Context],https://cekfakta.com/focus/9503
" Tangkapan Layar Berita detiknews “Tersesat 3 Hari di Perbukitan, saat ditemukan Tim SAR nenek ini teriak “my trip my adventure!”","Akun Twitter WARUNK KOMEDI (@warunkkomedi) mengunggah cuitan berupa tangkapan layar berita detiknews berjudul “Tersesat 3 Hari di Perbukitan, saat ditemukan Tim SAR nenek ini teriak “my trip my adventure!” yang terbit pada Sabtu, 21 Maret 2015 pukul 15.30 WIB. Cuitan yang diunggah pada 20 Maret 2022 itu telah mendapat atensi berupa 642 retweet dan 5,4 ribu suka.",Salah [Satire],https://cekfakta.com/focus/9502
 Tautan Instagift untuk Mengklaim Hadiah,"Beredar sebuah pesan melalui fitur Messenger di Instagram yang berisi sebuah tautan “Instagift”. Tautan tersebut dapat diakses oleh pengguna untuk mengklaim hadiah yang dikirimkan.

NARASI:

(diterjemahkan ke dalam Bahasa Indonesia)

“Butuh 3 jam untuk membuat ini. Saya harap anda menyukainya. Lihat https://takeit644[dot]xyz/g/?&ure=tracyminispa”",Salah [Impostor Content],https://cekfakta.com/focus/9501
 Foto “Serangan Udara Terbanyak yang Pernah Diluncurkan NATO di Afrika adalah di Libya Tahun 2011”,"Akun Twitter African Hub (@TheAfrican_Hub) mengunggah cuitan berupa foto yang diklaim sebagai serangan udara yang pernah diluncurkan NATO di Afrika sebanyak lebih dari 10.000 di Libya tahun 2011. Cuitan yang diunggah pada 14 Maret 2022 telah mendapat atensi berupa 41,4 ribu suka dan 23,4 ribu retweet.",Salah [False Context],https://cekfakta.com/focus/9500
 Pembalap Marc Marquez Sedang Di Bulukumba Untuk Di Urut,“Marc marquez skrg lagi berada di batukaropa kabupaten bulukumba untuk di urut.”,Salah [Satire],https://cekfakta.com/focus/9499
 Gula Jawa Mengandung Formalin,"“Copas dr grup alumni ITB
(teman2 alumni : tolong teliti kebenarannya)

Mohon ijin share yaa …. smoga bisa diambil hikmah dan manfaatnya …… aamiiiin.
Ya Allah jahatnya pedagang gula jawa ;
FORMALIN….!!

Ini dari temen2 ITB. biologi yg akan melanjutkan penelitian ttg gula merah

Gula Jawa/Gula Aren/Gula Merah
Sepertinya udah cukup buanyak kita denger berita2 ttg penyakit, seperti cancer lach….
yang ternyata pemicu utamanya adalah makanan kita.
Sy belakangan ini baru tahu kalau GULA AREN alias GULA JAWA yang berwarna coklat kayak batu itu mengandung FORMALIN",Salah [Misleading Content],https://cekfakta.com/focus/9498
 Akun WhatsApp Wakil Walikota Cilegon Sanuji Pentamerta “+6282143125957”,Beredar info terkait akun WhatsApp mengatasnamakan Wakil Walikota Cilegon Sanuji Pentamerta.,Salah [Impostor Content],https://cekfakta.com/focus/9497
 Akun Whatsapp RS PKU Muhammadiyah Wonosobo “+6281217025680”,"“selamar sore
benar ini dengan surya mart nggih
saya dokter bima syahputra dari RS PKU MUHAMMADIYAH WONOSOBO , mau belanja apa bisa diantar nggih ke rs ?”
“Benarr pakk
bisa pakk,mohon maaf tapi ada ongkir nya pak”
“oh baik tidak apa”
“tissue kering paseo 250s 3 pcs tissue basah mitu baby 3pcs superpell refil lemon besar 2 pcs wippol refil besar 2pcs susu ultramilk coklat 1 ltr 3pcs”",Salah [Impostor Content],https://cekfakta.com/focus/9496
 Akun Whatsapp Wakil Wali Kota Sukabumi Andri Setiawan Hamami “+628128183452”,"Beredar akun Whatsapp mengatasnamakan Wakil Wali Kota Sukabumi, Andri Setiawan Hamami. Akun dengan nomor Whatsapp “+628128183452”",Salah [Impostor Content],https://cekfakta.com/focus/9495
 Gadis Ular Menggemparkan Dunia,“Video Viral. Ya Allah Gadis Ular Gemparkan Seluruh Dunia”,Salah [Fabricated Content],https://cekfakta.com/focus/9494
 Video Menunjukkan ‘Wanita Plastik Pertama’ Dibuat Oleh Cina,"“China has produced first woman plastic, one thing is that, she doesn’t have a soul, the end of the world is near.

Terjemahan:

Cina telah memproduksi plastik wanita pertama, satu hal adalah, dia tidak memiliki jiwa, kiamat sudah dekat.”",Salah [False Context],https://cekfakta.com/focus/9493
 Tentara Ukraina Membunuh Pria Chechnya,"“As a reminder… This is what the Ukrainian army did when they entered Chechnya and executed a man and his wife when he was reciting Surat Al-Fatihah without mercy. Today, with the Russian army, Chechnya enters Ukraine…

Terjemahan:
Sebagai pengingat… Inilah yang dilakukan tentara Ukraina ketika mereka memasuki Chechnya dan mengeksekusi seorang pria dan istrinya ketika dia sedang membaca Surat Al-Fatihah tanpa ampun. Hari ini, dengan tentara Rusia, Chechnya memasuki Ukraina…”",Salah [False Context],https://cekfakta.com/focus/9492
 Link Giveaway Smartphone Ninja Xpress,"Beredar sebuah link mengatasnamakan Ninja Xpress, layanan jasa pengiriman yang sedang mengadakan giveaway smartphone.",Salah [Impostor Content],https://cekfakta.com/focus/9491
 Situs Lelang Milik DJKN “lelanginternal.com”,"“saya sangat senang membeli mobil di lelang internal ini mobil nya bagus baru.
Persyaratan gampang harga murah ayo kawan kunjungi LELANGINTERNAL.COM beli mobil dan barang di lelang internal ini.”",Salah [Impostor Content],https://cekfakta.com/focus/9490
 Siti Nurhaliza Meninggal Dunia,"“Innalilahi Wa Innailaihi Roji’un,Keluarga Siti Nurhaliza Berduka . Selamat Tinggal Penyanyi Terbaik Malaysia Fans : Selamat Tinggal Kak Siti, Karya Mu Akan Slalu Kami Kenang.”",Salah [Misleading Content],https://cekfakta.com/focus/9489
 Harimau Berkeliaran Di Perkebunan Sawit Di Riau,” Harimau Sumatera banyak di temukan oleh para warga di sekitar perkebunan kelapa sawit di kandis provinsi Riau….. Hati2 ho dek Viktor Samosir Siapudan”,Salah [False Context],https://cekfakta.com/focus/9488
 Pesepak Bola Qatar Alami Serangan Jantung Setelah Divaksin Covid-19,"Cek Fakta Liputan6.com mendapati klaim video pesepak bola Qatar alami serangan jantung setelah vaksin Covid-19. Informasi tersebut diunggah salah satu akun Facebook, pada 31 Januari 2022.

Unggahan klaim video pesepak bola Qatar alami serangan jantung setelah vaksin Covid-19 menampilkan pertandingan sepakbola pada detik 0.03 terlihat seprang berbaring di depan gawang.

Video tersebut diberi keterangan sebagai berikut.

""#COVIDVACCINEVICTIMS⚠️Pemain sepak bola dari Mali 🇲 🇱 divaksinasi 💉di Qatar 🇶🇦 dan terkena serangan jantung saat bermain di Qatar 🇶🇦""",Salah [Misleading Content],https://cekfakta.com/focus/9487
 Foto Harimau Berkeliaran di Perawang Riau,"Sebuah foto yang diklaim seekor harimau berkeliaran di Perawang, Kabupaten Siak, Riau beredar di media sosial. Foto tersebut disebarkan salah satu akun Facebook pada 17 Maret 2022.

Dalam foto tersebut, tampak seekor harimau tengah berjalan di kebun sawit. Foto tersebut kemudian dikaitkan dengan kabar ada seekor harimau berkeliaran di KM 8 Perawang, Kabupaten Siak, Riau.

""Kepada teman"" hati mlai skrg sdh mlai berkeliaran si belang sekitaran KM 8 perawang,"" tulis salah satu akun Facebook.

Konten yang disebarkan akun Facebook tersebut telah 6.900 kali dibagikan dan mendapat 580 komentar warganet.",Salah [Manipulated Content],https://cekfakta.com/focus/9486
"Tidak Terbukti, Covid-19 Berasal dari Laboratorium Ukraina","
Unggahan dari  TikTok  yang mengaitkan adanya laboratorium di Ukraina sebagai penyebab Covid-19 pada 12 Maret 2022. Unggahan itu berupa video berita dari TVRI tentang penemuan 30 laboratorium di Ukraina yang diklaim untuk memproduksi senjata biologi. Unggahan ini juga menyebar di  Facebook.
“Ternyata biang keroknya Covid-19. Pantasan berita Covid hilang,” demikian teks yang melekat pada video berdurasi hampir satu menit itu.
Narasi ini sebagai lanjutan informasi dari Rusia bahwa 30an lebih laboratorium senjata biologi itu didanai oleh Amerika Serikat. Namun sebelum konflik Rusia dan Ukraina, Amerika Serikat mengkampanyekan bahwa Covid-19 berasal dari laboratorium di Cina.
Tangkapan layar unggahan video dengan klaim Covid-19 berasal dari laboratorium Ukraina",Salah [-],https://cekfakta.com/focus/9485
 Pemeran Mr. Bean Masuk Islam,"“Akhirnya Komedia Dunia, Mr. Bean Mengucapkan Dua Kalimah Syahadat.”",Salah [Misleading Content],https://cekfakta.com/focus/9484
 Video “Boing 737 China Airlines Kecelakaan 21 March 2022”,"“Kuat dan Tabah keluarga yang kehilangan orang yang dikasihi

Boing 737 China Airlines Kecelakaan 21 March 2022″.",Salah [False Context],https://cekfakta.com/focus/9483
